,_id,count,count_with_activity,ratio
405,Camping Store,220,123.0,55.91
406,General Hospital,218,,
407,Manufacturer,217,1.0,0.46
408,Coffee Roasters,217,105.0,48.39
409,Coffee Store,216,58.0,26.85
410,Bead Store,214,40.0,18.69
411,Pastry Shop,214,76.0,35.51
412,Guitar Store,212,,
413,Corporate Office,210,2.0,0.95
414,Produce Market,210,86.0,40.95
415,Beauty Salon,208,51.0,24.52
416,Baby Clothing Store,207,9.0,4.35
417,Haitian Restaurant,207,146.0,70.53
418,Community Health Centre,206,133.0,64.56
419,Skate Shop,206,48.0,23.3
420,Self-storage Facility,205,,
421,Hot Tub Store,204,39.0,19.12
422,Honduran Restaurant,204,161.0,78.92
423,Turkish Restaurant,202,149.0,73.76
424,Diagnostic Center,201,41.0,20.4
425,Aquarium Shop,200,61.0,30.5
426,Wedding Store,198,12.0,6.06
427,Wellness Center,198,68.0,34.34
428,Ford Dealer,196,190.0,96.94
429,Rock Shop,196,,
430,Rug Store,195,,
431,Pakistani Restaurant,194,141.0,72.68
432,Podiatrist,194,18.0,9.28
433,Trailer Repair Shop,192,60.0,31.25
434,Home Audio Store,192,11.0,5.73
435,Californian Restaurant,192,122.0,63.54
436,Jewelry Designer,191,15.0,7.85
437,Taiwanese Restaurant,188,115.0,61.17
438,Sports Memorabilia Store,188,22.0,11.7
439,Traditional American Restaurant,187,131.0,70.05
440,Dress Store,185,29.0,15.68
441,Organic Restaurant,184,112.0,60.87
442,Video Store,183,,
443,German Restaurant,183,124.0,67.76
444,Optician,183,10.0,5.46
445,Wheel Store,183,88.0,48.09
446,Toyota Dealer,182,173.0,95.05
447,Logistics Service,182,58.0,31.87
448,Christmas Store,182,17.0,9.34
449,Sports Card Store,181,34.0,18.78
450,Psychotherapist,181,,
451,Argentinian Restaurant,180,142.0,78.89
452,Health Club,178,34.0,19.1
453,Salad Shop,177,104.0,58.76
454,Japanese Steakhouse,177,148.0,83.62
455,Cupcake Shop,176,49.0,27.84
456,Bathroom Supply Store,176,67.0,38.07
