category,terminal_category_name,terminal_category_count,insemble_category_name,insemble_category_count,diff
martial arts school,martial arts school,1.0,,,-1
homeopath,homeopath,1.0,,,-1
camera repair shop,camera repair shop,1.0,,,-1
crab house,crab house,1.0,,,-1
fruit and vegetable store,fruit and vegetable store,5.0,fruit & vegetable store,4.0,-1
entertainer,entertainer,1.0,,,-1
takeaway,takeaway,1.0,,,-1
wholesale bakery,wholesale bakery,1.0,,,-1
dance school,dance school,1.0,,,-1
parking lot,parking lot,1.0,,,-1
jewelry buyer,jewelry buyer,1.0,,,-1
salvage yard,salvage yard,1.0,,,-1
swedish restaurant,swedish restaurant,1.0,,,-1
furnace store,furnace store,1.0,,,-1
religious book store,religious book store,1.0,,,-1
kitchen remodeler,kitchen remodeler,1.0,,,-1
plant nursery,plant nursery,1.0,,,-1
childrens book store,childrens book store,1.0,,,-1
violin shop,violin shop,1.0,,,-1
variety shop,variety shop,1.0,,,-1
accessories store,fashion accessories store,82.0,accessories store,81.0,-1
appliances,appliances,1.0,,,-1
fruit & vegetable store,fruit and vegetable store,5.0,fruit & vegetable store,4.0,-1
discount shop,discount shop,1.0,,,-1
gourmet grocery shop,gourmet grocery shop,1.0,,,-1
chimney services,chimney services,1.0,,,-1
sports equipment rental service,sports equipment rental service,1.0,,,-1
country club,country club,1.0,,,-1
bag shop,bag shop,1.0,,,-1
historical landmark,historical landmark,1.0,,,-1
kitchen supply shop,kitchen supply shop,1.0,,,-1
shopping center,shopping center,1.0,,,-1
